Active Ingredient,SMILES
SUMATRIPTAN SUCCINATE,CN[S](=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1.OC(=O)CCC(O)=O
DIPYRIDAMOLE,OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO
ESTRADIOL,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
TIAGABINE HYDROCHLORIDE,[Cl-].Cc1ccsc1C(=CCCN2CCC[C@H](C2)C(O)=O)c3sccc3C.[H+]
ADAPALENE,COc1ccc(cc1C23CC4CC(CC(C4)C2)C3)c5ccc6cc(ccc6c5)C(O)=O
KETOTIFEN FUMARATE,CN1CCC(CC1)=C2c3ccccc3CC(=O)c4sccc24.OC(=O)\C=C\C(O)=O
DOXAPRAM HYDROCHLORIDE,[H+].[Cl-].CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4
BUTOCONAZOLE NITRATE,O[N+]([O-])=O.Clc1ccc(CCC(Cn2ccnc2)Sc3c(Cl)cccc3Cl)cc1
TRIPELENNAMINE CITRATE,CN(C)CCN(Cc1ccccc1)c2ccccn2.OC(=O)CC(O)(CC(O)=O)C(O)=O
HALOPERIDOL LACTATE,CC(O)C(=O)OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
LOSARTAN POTASSIUM,[K+].CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4[n-]nnn4
IRBESARTAN,CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4c5n[nH]nn5
FLUVOXAMINE MALEATE,COCCCC\C(=N/OCCN)c1ccc(cc1)C(F)(F)F.OC(=O)\C=C/C(O)=O
PRIMAQUINE PHOSPHATE,COc1cc(NC(C)CCCN)c2ncccc2c1.O[P](O)(O)=O.O[P](O)(O)=O
TROGLITAZONE,Cc1c(C)c2OC(C)(CCc2c(C)c1O)COc3ccc(CC4SC(=O)NC4=O)cc3
DEXCHLORPHENIRAMINE MALEATE,CN(C)CC[C@@H](c1ccc(Cl)cc1)c2ccccn2.OC(=O)\C=C/C(O)=O
DEXBROMPHENIRAMINE MALEATE,CN(C)CC[C@@H](c1ccc(Br)cc1)c2ccccn2.OC(=O)\C=C/C(O)=O
ECONAZOLE NITRATE,O[N+]([O-])=O.Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
LITHIUM CITRATE,[Li+].[Li+].[Li+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
ESZOPICLONE,CN1CCN(CC1)C(=O)O[C@@H]2N(C(=O)c3nccnc23)c4ccc(Cl)cn4
ISOPROPAMIDE IODIDE,[I-].CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c2ccccc2)C(C)C
PROPANTHELINE BROMIDE,[Br-].CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc3ccccc13)C(C)C
TEGASEROD MALEATE,CCCCCN=C(N)NN/C=C/1C=Nc2ccc(OC)cc12.OC(=O)\C=C/C(O)=O
SULCONAZOLE NITRATE,O[N+]([O-])=O.Clc1ccc(CSC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
DEXRAZOXANE HYDROCHLORIDE,[Cl-].C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2.[H+]
SODIUM CITRATE,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
TIMOLOL MALEATE,CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2.OC(=O)\C=C/C(O)=O
LEVOFLOXACIN,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O
ETHYLESTRENOL,CCC(O)[C@]12CC[C@@H]3[C@H]4CCCCC4CC[C@H]3[C@@H]1CC=C2
METRIZOATE MAGNESIUM,[Mg++].CN(C(C)=O)c1c(I)c(NC(C)=O)c(I)c(C([O-])=O)c1I
ESOMEPRAZOLE SODIUM,[Na+].COc1ccc2NC([N-]c2c1)[S@@](=O)Cc3ncc(C)c(OC)c3C
PANTOPRAZOLE SODIUM,[Na+].COc1ccnc(C[S](=O)C2Nc3cc(OC(F)F)ccc3[N-]2)c1OC
FOSPROPOFOL DISODIUM,[Na+].[Na+].CC(C)c1cccc(C(C)C)c1OCO[P]([O-])([O-])=O
SUCCINYLCHOLINE CHLORIDE,[Cl-].[Cl-].C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
MYCOPHENOLATE MOFETIL,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(C)\CCC(=O)OCCN3CCOCC3
CALCIUM METRIZOATE,[Ca++].CN(C(C)=O)c1c(C)c(NC(C)=O)c(C)c(C([O-])=O)c1C
RANITIDINE HYDROCHLORIDE,[H+].[Cl-].CNC(/NCCSCc1oc(CN(C)C)cc1)=C\[N+]([O-])=O
CLOPIDOGREL BISULFATE,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl.O[S](O)(=O)=O
CISAPRIDE MONOHYDRATE,O.COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC
LOXAPINE SUCCINATE,CN1CCN(CC1)C2=Nc3ccccc3Oc4ccc(Cl)cc24.OC(=O)CCC(O)=O
SODIUM GLUCONATE,[Na+].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
CYCLOTHIAZIDE,N[S](=O)(=O)c1cc2c(NC(N[S]2(=O)=O)C3CC4CC3C=C4)cc1Cl
NIFEDIPINE,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+]([O-])=O)C(=O)OC)C
GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(O)=O
BENZTHIAZIDE,N[S](=O)(=O)c1cc2c(NC(=N[S]2(=O)=O)CSCc3ccccc3)cc1Cl
LORACARBEF,O.N[C@@H](C(=O)NC1C2CCC(=C(N2C1=O)C(O)=O)Cl)c3ccccc3
RITODRINE HYDROCHLORIDE,[Cl-].C[C@H](NCCc1ccc(O)cc1)[C@H](O)c2ccc(O)cc2.[H+]
AMDINOCILLIN,CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(O)=O
OLOPATADINE HYDROCHLORIDE,[H+].[Cl-].CN(C)CC\C=C/1c2ccccc2COc3ccc(CC(O)=O)cc13
BISOPROLOL FUMARATE,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.OC(=O)\C=C\C(O)=O
IMIPENEM,O.C[C@H](O)[C@@H]1[C@H]2CC(=C(N2C1=O)C(O)=O)SCCN=CN
MEPENZOLATE BROMIDE,[Br-].C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3
MEPHENTERMINE SULFATE,CNC(C)(C)Cc1ccccc1.CNC(C)(C)Cc2ccccc2.O[S](O)(=O)=O
METRIZOATE SODIUM,[Na+].CN(C(C)=O)c1c(I)c(NC(C)=O)c(I)c(C([O-])=O)c1I
RISPERIDONE,CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1
BRINZOLAMIDE,CCN[C@H]1CN(CCCOC)[S](=O)(=O)c2sc(cc12)[S](N)(=O)=O
ERLOTINIB HYDROCHLORIDE,[H+].[Cl-].COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
ANISOTROPINE METHYLBROMIDE,[Br-].CCCC(CCC)C(=O)OC1C[C@H]2CC[C@@H](C1)[N+]2(C)C
CYTARABINE,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O
ISTRADEFYLLINE,CCN1C(=O)N(CC)c2nc(/C=C/c3ccc(OC)c(OC)c3)n(C)c2C1=O
OXYBUTYNIN CHLORIDE,[H+].[Cl-].CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2
DEXTROAMPHETAMINE SULFATE,C[C@H](N)Cc1ccccc1.C[C@H](N)Cc2ccccc2.O[S](O)(=O)=O
ARBUTAMINE HYDROCHLORIDE,[Cl-].O[C@@H](CNCCCCc1ccc(O)cc1)c2ccc(O)c(O)c2.[H+]
BENTIROMIDE,OC(=O)c1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c3ccccc3)cc1
RIVAROXABAN,Clc1sc(cc1)C(=O)NCC2CN(C(=O)O2)c3ccc(cc3)N4CCOCC4=O
Oxybutynin Chloride,[H+].[Cl-].CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2
ACEBUTOLOL HYDROCHLORIDE,[H+].[Cl-].CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O
NILUTAMIDE,CC1(C)NC(=O)N(c2ccc(c(c2)C(F)(F)F)[N+]([O-])=O)C1=O
ENTACAPONE,CCN(CC)C(=O)/C(=C/c1cc(O)c(O)c(c1)[N+]([O-])=O)C#N
METARAMINOL BITARTRATE,CC(N)C(O)c1cccc(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O
HYDROXYZINE HYDROCHLORIDE,[H+].[Cl-].OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3
BRETYLIUM TOSYLATE,CC[N+](C)(C)Cc1ccccc1Br.Cc2ccc(cc2)[S]([O-])(=O)=O
SULFINPYRAZONE,O=C1C(CC[S](=O)c2ccccc2)C(=O)N(N1c3ccccc3)c4ccccc4
NEOSTIGMINE METHYLSULFATE,CO[S]([O-])(=O)=O.CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
FENOLDOPAM MESYLATE,C[S](O)(=O)=O.Oc1ccc(cc1)C2CNCCc3c(Cl)c(O)c(O)cc23
BEPRIDIL HYDROCHLORIDE,[H+].[Cl-].CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3
OXYPHENCYCLIMINE HYDROCHLORIDE,[H+].[Cl-].CN1CCCN=C1COC(=O)C(O)(C2CCCCC2)c3ccccc3
AZACITIDINE,NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O
DIETHYLCARBAMAZINE CITRATE,CCN(CC)C(=O)N1CCN(C)CC1.OC(=O)CC(O)(CC(O)=O)C(O)=O
PENICILLIN G POTASSIUM,[K+].CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C([O-])=O
ONDANSETRON HYDROCHLORIDE,[H+].O.O.[Cl-].Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14
ETRETINATE,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
PROPIOMAZINE HYDROCHLORIDE,[H+].[Cl-].CCC(=O)c1ccc2Sc3ccccc3N(CC(C)N(C)C)c2c1
CHLORDIAZEPOXIDE HYDROCHLORIDE,[H+].[Cl-].CN=C1CN(O)C(=C2C=C(Cl)C=CC2=N1)c3ccccc3
POTASSIUM CITRATE,[K+].[K+].[K+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
LABETALOL HYDROCHLORIDE,[H+].[Cl-].CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(N)=O
ETHAMBUTOL HYDROCHLORIDE,[Cl-].[Cl-].CC[C@@H](CO)NCCN[C@@H](CC)CO.[H+].[H+]
ISOETHARINE HYDROCHLORIDE,[Cl-].CC[C@@H](NC(C)C)[C@@H](O)c1ccc(O)c(O)c1.[H+]
PIOGLITAZONE HYDROCHLORIDE,[H+].[Cl-].CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
TRIMIPRAMINE MALEATE,CC(CN(C)C)CN1c2ccccc2CCc3ccccc13.OC(=O)\C=C/C(O)=O
IPRATROPIUM BROMIDE,[Br-].CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3
CITALOPRAM HYDROBROMIDE,[H+].[Br-].CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3
CELECOXIB,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)[S](N)(=O)=O)C(F)(F)F
ESTRONE,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O
ALOSETRON HYDROCHLORIDE,[H+].[Cl-].Cn1c2CCN(Cc3nc[nH]c3C)C(=O)c2c4ccccc14
FENTANYL HYDROCHLORIDE,[H+].[Cl-].CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3
TRAMADOL HYDROCHLORIDE,[Cl-].COc1cccc(c1)[C@@]2(O)CCCC[C@@H]2CN(C)C.[H+]
BENZONATATE,CCCCNc1ccc(cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
TRIFLUPROMAZINE HYDROCHLORIDE,[H+].[Cl-].CN(C)CCCN1c2ccccc2Sc3ccc(cc13)C(F)(F)F
OXYPHENONIUM BROMIDE,[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)c2ccccc2
BUTENAFINE HYDROCHLORIDE,[H+].[Cl-].CN(Cc1ccc(cc1)C(C)(C)C)Cc2cccc3ccccc23
METHADONE HYDROCHLORIDE,[H+].[Cl-].CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2
NELARABINE,COc1nc(N)nc2n(cnc12)C3O[C@H](CO)[C@@H](O)[C@@H]3O
GLYCOPYRROLATE,[Br-].C[N+]1(C)CCC(C1)OC(=O)C(O)(C2CCCC2)c3ccccc3
GEMCITABINE,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F
NITISINONE,[O-][N+](=O)c1cc(ccc1C(=O)C2C(=O)CCCC2=O)C(F)(F)F
PYRILAMINE MALEATE,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1.OC(=O)\C=C/C(O)=O
RIBOFLAVIN,Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)c2cc1C
LEVOBUNOLOL HYDROCHLORIDE,[Cl-].CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12.[H+]
OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O
CARBINOXAMINE MALEATE,CN(C)CCOC(c1ccc(Cl)cc1)c2ccccn2.OC(=O)\C=C/C(O)=O
SULINDAC,CC\1=C(CC(O)=O)c2cc(F)ccc2C1=C\c3ccc(cc3)[S](C)=O
ISRADIPINE,COC(=O)C1=C(C)NC(=C(C1c2cccc3nonc23)C(=O)OC(C)C)C
BENDAMUSTINE HYDROCHLORIDE,[H+].[Cl-].Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl
ADENOSINE,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
MILNACIPRAN HYDROCHLORIDE,[Cl-].CCN(CC)C(=O)[C@@]1(C[C@@H]1C[NH3+])c2ccccc2
PROTOKYLOL HYDROCHLORIDE,[H+].[Cl-].CC(Cc1ccc2OCOc2c1)NCC(O)c3ccc(O)c(O)c3
GRANISETRON HYDROCHLORIDE,[H+].[Cl-].CN1C2CCCC1CC(C2)NC(=O)c3nn(C)c4ccccc34
DESVENLAFAXINE SUCCINATE,O.CN(C)CC(c1ccc(O)cc1)C2(O)CCCCC2.OC(=O)CCC(O)=O
HYDROXYCHLOROQUINE SULFATE,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O[S](O)(=O)=O
RIBAVIRIN,NC(=O)c1ncn(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O
ATOVAQUONE,OC1=C(C2CCC(CC2)c3ccc(Cl)cc3)C(=O)C(=O)c4ccccc14
THIAMINE HYDROCHLORIDE,[H+].[Cl-].[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
NITROFURANTOIN SODIUM,[Na+].[O-][N+](=O)c1oc(cc1)/C=N/N2CC(=O)[N-]C2=O
ENTECAVIR,O.NC1=NC(=O)c2ncn(C3C[C@H](O)[C@@H](CO)C3=C)c2N1
CHLORPHENIRAMINE MALEATE,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2.OC(=O)\C=C\C(O)=O
MIDAZOLAM HYDROCHLORIDE,[H+].[Cl-].Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12
ILOPERIDONE,COc1cc(ccc1OCCCN2CCC(CC2)c3noc4cc(F)ccc34)C(C)=O
CHLOROTHIAZIDE SODIUM,[Na+].N[S](=O)(=O)c1cc2c(cc1Cl)N=C[N-][S]2(=O)=O
DIATRIZOATE SODIUM,[Na+].CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C([O-])=O)c1I
LOXAPINE HYDROCHLORIDE,[H+].[Cl-].CN1CCN(CC1)C2=Nc3ccccc3Oc4ccc(Cl)cc24
FOSFOMYCIN TROMETHAMINE,C[C@@H]1O[C@@H]1[P](O)([O-])=O.[NH3+]C(CO)(CO)CO
IOTHALAMATE SODIUM,[Na+].CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C([O-])=O)c1I
METIPRANOLOL HYDROCHLORIDE,[H+].[Cl-].CC(C)NCC(O)COc1cc(C)c(OC(C)=O)c(C)c1C
BROMPHENIRAMINE MALEATE,CN(C)CCC(c1ccc(Br)cc1)c2ccccn2.OC(=O)\C=C/C(O)=O
PHENTOLAMINE MESYLATE,Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3.C[S](O)(=O)=O
BEXAROTENE,Cc1cc2c(cc1C(=C)c3ccc(cc3)C(O)=O)C(C)(C)CCC2(C)C
ACITRETIN,COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C
BIPERIDEN LACTATE,CC(O)C(O)=O.OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4
RIZATRIPTAN BENZOATE,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12.OC(=O)c4ccccc4
ACRIVASTINE,Cc1ccc(cc1)C(=C\CN2CCCC2)/c3cccc(\C=C\C(O)=O)n3
MOLINDONE HYDROCHLORIDE,[H+].[Cl-].CCc1c(C)[nH]c2CCC(CN3CCOCC3)C(=O)c12
TRICHLORMETHIAZIDE,N[S](=O)(=O)c1cc2c(NC(N[S]2(=O)=O)C(Cl)Cl)cc1Cl
DIBUCAINE HYDROCHLORIDE,[H+].[Cl-].CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
SIBUTRAMINE HYDROCHLORIDE,[H+].O.[Cl-].CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2
INDECAINIDE HYDROCHLORIDE,[H+].[Cl-].CC(C)NCCCC1(C(N)=O)c2ccccc2c3ccccc13
FLIBANSERIN,FC(F)(F)c1cccc(c1)N2CCN(CC2)CCN3C(=O)Nc4ccccc34
VORICONAZOLE,C[C@@H](c1ncncc1F)[C@](O)(Cn2cncn2)c3ccc(F)cc3F
BIPERIDEN HYDROCHLORIDE,[H+].[Cl-].OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4
AXITINIB,CNC(=O)c1ccccc1Sc2ccc3c([nH]nc3\C=C\c4ccccn4)c2
ALITRETINOIN,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1
DROPERIDOL,Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34
LEVOBETAXOLOL HYDROCHLORIDE,[Cl-].CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1.[H+]
AMBRISENTAN,COC(C(Oc1nc(C)cc(C)n1)C(O)=O)(c2ccccc2)c3ccccc3
ARIPIPRAZOLE,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
GRANISETRON,CN1[C@H]2CCC[C@@H]1CC(C2)NC(=O)c3nn(C)c4ccccc34
ISOTRETINOIN,CC1=C(\C=C\C(C)=C\C=C\C(C)=C/C(O)=O)C(C)(C)CCC1
ETRAVIRINE,Cc1cc(cc(C)c1Oc2nc(Nc3ccc(cc3)C#N)nc(N)c2Br)C#N
MELOXICAM,CN1C(=C(/O)Nc2sc(C)cn2)/C(=O)c3ccccc3[S]1(=O)=O
NONOXYNOL-9,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1
DESOXYCORTICOSTERONE ACETATE,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
DRONABINOL,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1
CLADRIBINE,Nc1nc(Cl)nc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO)O3
PENICILLIN G SODIUM,[Na].CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(O)=O
TYROPANOATE SODIUM,[Na+].CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C([O-])=O)c1I
DAPIPRAZOLE HYDROCHLORIDE,[Cl-].Cc1ccccc1N2C=CN(CCc3nnc4CCCCn34)C=C2.[H+]
FELODIPINE,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C
MASOPROCOL,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc2ccc(O)c(O)c2
TERBINAFINE HYDROCHLORIDE,[H+].[Cl-].CN(C\C=C\C#CC(C)(C)C)Cc1cccc2ccccc12
APOMORPHINE HYDROCHLORIDE,[Cl-].CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34.[H+]
RABEPRAZOLE SODIUM,[Na+].COCCCOc1ccnc(C[S](=O)c2[n-]c3ccccc3n2)c1C
TRETINOIN,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1
METHANTHELINE BROMIDE,[Br-].CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc3ccccc13
ETIDRONATE DISODIUM,[Na+].[Na+].CC(O)([P](O)([O-])=O)[P](O)([O-])=O
PENTOSTATIN,OC[C@H]1O[C@H](C[C@@H]1O)n2cnc3[C@H](O)CN=CNc23
WARFARIN SODIUM,[Na+].CC(=O)CC([C-]1C(=O)Oc2ccccc2C1=O)c3ccccc3
COCAINE HYDROCHLORIDE,[H+].[Cl-].COC(=O)C1C(CC2CCC1N2C)OC(=O)c3ccccc3
RILPIVIRINE,Cc1cc(\C=C\C#N)cc(C)c1Nc2ccnc(Nc3ccc(cc3)C#N)n2
RANOLAZINE,COc1ccccc1OCC(O)CN2CCN(CC2)CC(=O)Nc3c(C)cccc3C
PRAMIPEXOLE DIHYDROCHLORIDE,[Cl-].[Cl-].CCCN[C@H]1CCc2nc(N)sc2C1.[H+].[H+]
TAPENTADOL HYDROCHLORIDE,[Cl-].CC[C@H]([C@@H](C)CN(C)C)c1cccc(O)c1.[H+]
DEXMETHYLPHENIDATE HYDROCHLORIDE,[Cl-].COC(=O)[C@@H]([C@H]1CCCCN1)c2ccccc2.[H+]
ESTRADIOL ACETATE,CC(=O)Oc1ccc2C3CC[C@]4(C)[C@@H](O)CCC4C3CCc2c1
FENOFIBRATE,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2
GEFITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4
IBUPROFEN LYSINE,CC(C)Cc1ccc(cc1)C(C)C(O)=O.NCCCC[C@H](N)C(O)=O
TELBIVUDINE,CC1=CN([C@@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O
METOLAZONE,CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)[S](N)(=O)=O
INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)[S](N)(=O)=O
BROMFENAC SODIUM,O.[Na+].Nc1c(CC([O-])=O)cccc1C(=O)c2ccc(Br)cc2
LULICONAZOLE,Clc1ccc([C@@H]2CSC(/S2)=C(/C#N)n3ccnc3)c(Cl)c1
ROPIVACAINE HYDROCHLORIDE,O.[Cl-].CCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C.[H+]
METHYCLOTHIAZIDE,CN1C(CCl)Nc2cc(Cl)c(cc2[S]1(=O)=O)[S](N)(=O)=O
WARFARIN POTASSIUM,[K+].CC(=O)CC([C-]1C(=O)Oc2ccccc2C1=O)c3ccccc3
ISOSORBIDE MONONITRATE,O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+]([O-])=O
NADOLOL,CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12
THIORIDAZINE HYDROCHLORIDE,[H+].[Cl-].CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1
LINEZOLID,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2
INDOMETHACIN,COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3
HOMATROPINE METHYLBROMIDE,[Br-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C(O)c3ccccc3
CHLOROTRIANISENE,COc1ccc(cc1)C(Cl)=C(c2ccc(OC)cc2)c3ccc(OC)cc3
CYPROHEPTADINE HYDROCHLORIDE,[H+].[Cl-].CN1CCC(CC1)=C2c3ccccc3C=Cc4ccccc24
BISACODYL,CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3
PROPAFENONE HYDROCHLORIDE,[H+].[Cl-].CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2
DOBUTAMINE HYDROCHLORIDE,[H+].[Cl-].CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2
ETHACRYNATE SODIUM,[Na+].CCC(=C)C(=O)c1ccc(OCC([O-])=O)c(Cl)c1Cl
PIROXICAM,CN1C(=C(/O)Nc2ccccn2)/C(=O)c3ccccc3[S]1(=O)=O
METHYLDOPATE HYDROCHLORIDE,[Cl-].CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1.[H+]
AZATHIOPRINE SODIUM,[Na+].Cn1cnc(c1Sc2ncnc3nc[nH]c23)[N+]([O-])=O
FLUDARABINE PHOSPHATE,Nc1nc(F)nc2n(cnc12)C3OC(CO[P](O)(O)=O)C(O)C3O
LEVOBUPIVACAINE HYDROCHLORIDE,[Cl-].CCCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C.[H+]
CARTEOLOL HYDROCHLORIDE,[H+].[Cl-].CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12
FLUOXETINE HYDROCHLORIDE,[H+].[Cl-].CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2
METHOHEXITAL SODIUM,[Na+].CCC#CC(C)C1(CC=C)C(=O)[N-]C(=O)N(C)C1=O
OXYMETAZOLINE HYDROCHLORIDE,[H+].[Cl-].Cc1cc(c(O)c(C)c1CC2=NCCN2)C(C)(C)C
DOXYLAMINE SUCCINATE,CN(C)CCOC(C)(c1ccccc1)c2ccccn2.OC(=O)CCC(O)=O
CYCLOPENTOLATE HYDROCHLORIDE,[H+].[Cl-].CN(C)CCOC(=O)C(c1ccccc1)C2(O)CCCC2
NIFURTIMOX,CC1C[S](=O)(=O)CCN1\N=C\c2oc(cc2)[N+]([O-])=O
LANSOPRAZOLE,Cc1c(C[S](=O)c2[nH]c3ccccc3n2)nccc1OCC(F)(F)F
SOTALOL HYDROCHLORIDE,[H+].[Cl-].CC(C)NCC(O)c1ccc(N[S](C)(=O)=O)cc1
